scaffold_full	Final_Group	group_idx	scaffold_idx	length
scaffold122|size14233	scaffold122|size14233	122	122	14233
scaffold123|size14196	scaffold123|size14196	123	123	14196
scaffold124|size14122	scaffold124|size14122	124	124	14122
scaffold125|size14108	scaffold125|size14108	125	125	14108
scaffold126|size13868	scaffold126|size13868	126	126	13868
scaffold127|size13644	scaffold127|size13644	127	127	13644
scaffold128|size13629	scaffold128|size13629	128	128	13629
scaffold129|size13546	scaffold129|size13546	129	129	13546
scaffold130|size13417	scaffold130|size13417	130	130	13417
scaffold131|size13396	scaffold131|size13396	131	131	13396
scaffold132|size13386	scaffold132|size13386	132	132	13386
scaffold133|size13338	scaffold133|size13338	133	133	13338
scaffold134|size13199	scaffold134|size13199	134	134	13199
scaffold135|size13157	scaffold135|size13157	135	135	13157
scaffold136|size13150	scaffold136|size13150	136	136	13150
scaffold137|size13031	scaffold137|size13031	137	137	13031
scaffold138|size13027	scaffold138|size13027	138	138	13027
scaffold139|size12725	scaffold139|size12725	139	139	12725
scaffold140|size12657	scaffold140|size12657	140	140	12657
scaffold141|size12509	scaffold141|size12509	141	141	12509
scaffold142|size12470	scaffold142|size12470	142	142	12470
scaffold143|size12455	scaffold143|size12455	143	143	12455
scaffold144|size12438	scaffold144|size12438	144	144	12438
scaffold145|size12395	scaffold145|size12395	145	145	12395
scaffold146|size12394	scaffold146|size12394	146	146	12394
scaffold147|size12382	scaffold147|size12382	147	147	12382
scaffold148|size12301	scaffold148|size12301	148	148	12301
scaffold149|size12002	scaffold149|size12002	149	149	12002
scaffold150|size11974	scaffold150|size11974	150	150	11974
scaffold151|size11962	scaffold151|size11962	151	151	11962
scaffold152|size11960	scaffold152|size11960	152	152	11960
scaffold153|size11910	VG1	1	153	160000
scaffold154|size11896	scaffold154|size11896	154	154	11896
scaffold155|size11886	scaffold155|size11886	155	155	11886
scaffold156|size11856	scaffold156|size11856	156	156	11856
scaffold157|size11806	scaffold157|size11806	157	157	11806
scaffold158|size11623	scaffold158|size11623	158	158	11623
scaffold159|size11574	scaffold159|size11574	159	159	11574
scaffold160|size11567	scaffold160|size11567	160	160	11567
scaffold161|size11429	scaffold161|size11429	161	161	11429
scaffold162|size11337	scaffold162|size11337	162	162	11337
scaffold163|size11312	scaffold163|size11312	163	163	11312
scaffold164|size11311	scaffold164|size11311	164	164	11311
scaffold165|size11277	scaffold165|size11277	165	165	11277
scaffold166|size11233	scaffold166|size11233	166	166	11233
scaffold167|size11086	scaffold167|size11086	167	167	11086
scaffold168|size11073	scaffold168|size11073	168	168	11073
scaffold169|size11023	scaffold169|size11023	169	169	11023
scaffold170|size10955	scaffold170|size10955	170	170	10955
scaffold171|size10941	scaffold171|size10941	171	171	10941
scaffold172|size10813	scaffold172|size10813	172	172	10813
scaffold173|size10788	scaffold173|size10788	173	173	10788
scaffold174|size10777	scaffold174|size10777	174	174	10777
scaffold175|size10703	scaffold175|size10703	175	175	10703
scaffold176|size10697	scaffold176|size10697	176	176	10697
scaffold177|size10599	scaffold177|size10599	177	177	10599
scaffold178|size10534	scaffold178|size10534	178	178	10534
scaffold179|size10474	scaffold179|size10474	179	179	10474
scaffold180|size10447	scaffold180|size10447	180	180	10447
scaffold181|size10444	scaffold181|size10444	181	181	10444
scaffold182|size10430	scaffold182|size10430	182	182	10430
scaffold183|size10398	scaffold183|size10398	183	183	10398
scaffold184|size10397	scaffold184|size10397	184	184	10397
scaffold185|size10344	scaffold185|size10344	185	185	10344
scaffold186|size10265	scaffold186|size10265	186	186	10265
scaffold187|size10239	scaffold187|size10239	187	187	10239
scaffold188|size10218	scaffold188|size10218	188	188	10218
scaffold189|size18494	scaffold189|size18494	189	189	18494
scaffold190|size10082	scaffold190|size10082	190	190	10082
scaffold191|size10075	scaffold191|size10075	191	191	10075
scaffold192|size10066	scaffold192|size10066	192	192	10066
scaffold193|size10065	scaffold193|size10065	193	193	10065
scaffold194|size10026	scaffold194|size10026	194	194	10026
scaffold195|size10023	scaffold195|size10023	195	195	10023
scaffold196|size10014	scaffold196|size10014	196	196	10014
scaffold197|size9987	scaffold197|size9987	197	197	9987
scaffold198|size9962	scaffold198|size9962	198	198	9962
scaffold199|size9958	scaffold199|size9958	199	199	9958
scaffold200|size9832	scaffold200|size9832	200	200	9832
scaffold201|size9798	scaffold201|size9798	201	201	9798
scaffold202|size9773	scaffold202|size9773	202	202	9773
scaffold203|size9770	scaffold203|size9770	203	203	9770
scaffold204|size9754	scaffold204|size9754	204	204	9754
scaffold205|size9754	scaffold205|size9754	205	205	9754
scaffold206|size9687	scaffold206|size9687	206	206	9687
scaffold207|size9652	scaffold207|size9652	207	207	9652
scaffold208|size9635	scaffold208|size9635	208	208	9635
scaffold209|size9604	scaffold209|size9604	209	209	9604
scaffold210|size9599	scaffold210|size9599	210	210	9599
scaffold211|size9574	scaffold211|size9574	211	211	9574
scaffold212|size9546	scaffold212|size9546	212	212	9546
scaffold213|size9519	scaffold213|size9519	213	213	9519
scaffold214|size9460	scaffold214|size9460	214	214	9460
scaffold215|size9440	scaffold215|size9440	215	215	9440
scaffold216|size9429	scaffold216|size9429	216	216	9429
scaffold217|size9423	scaffold217|size9423	217	217	9423
scaffold218|size9421	scaffold218|size9421	218	218	9421
scaffold219|size9400	scaffold219|size9400	219	219	9400
scaffold220|size9369	scaffold220|size9369	220	220	9369
scaffold221|size9364	scaffold221|size9364	221	221	9364
scaffold222|size9350	scaffold222|size9350	222	222	9350
scaffold223|size9342	scaffold223|size9342	223	223	9342
scaffold224|size9310	scaffold224|size9310	224	224	9310
scaffold225|size9280	scaffold225|size9280	225	225	9280
scaffold226|size9275	scaffold226|size9275	226	226	9275
scaffold227|size9265	scaffold227|size9265	227	227	9265
scaffold228|size9239	scaffold228|size9239	228	228	9239
scaffold229|size9186	scaffold229|size9186	229	229	9186
scaffold230|size9147	scaffold230|size9147	230	230	9147
scaffold231|size9123	scaffold231|size9123	231	231	9123
scaffold232|size9088	scaffold232|size9088	232	232	9088
scaffold233|size9085	scaffold233|size9085	233	233	9085
scaffold234|size9077	scaffold234|size9077	234	234	9077
scaffold235|size9071	scaffold235|size9071	235	235	9071
scaffold236|size9065	scaffold236|size9065	236	236	9065
scaffold237|size9033	scaffold237|size9033	237	237	9033
scaffold238|size9021	scaffold238|size9021	238	238	9021
scaffold239|size9012	scaffold239|size9012	239	239	9012
scaffold240|size8984	scaffold240|size8984	240	240	8984
scaffold241|size8923	scaffold241|size8923	241	241	8923
scaffold242|size8878	scaffold242|size8878	242	242	8878
scaffold243|size8812	scaffold243|size8812	243	243	8812
scaffold244|size8800	scaffold244|size8800	244	244	8800
scaffold245|size8794	scaffold245|size8794	245	245	8794
scaffold246|size8781	scaffold246|size8781	246	246	8781
scaffold247|size8715	scaffold247|size8715	247	247	8715
scaffold248|size8639	scaffold248|size8639	248	248	8639
scaffold249|size8615	scaffold249|size8615	249	249	8615
scaffold250|size8376	scaffold250|size8376	250	250	8376
scaffold251|size8358	scaffold251|size8358	251	251	8358
scaffold252|size8358	scaffold252|size8358	252	252	8358
scaffold253|size8357	scaffold253|size8357	253	253	8357
scaffold254|size8349	scaffold254|size8349	254	254	8349
scaffold255|size8340	scaffold255|size8340	255	255	8340
scaffold256|size8327	scaffold256|size8327	256	256	8327
scaffold257|size8267	scaffold257|size8267	257	257	8267
scaffold258|size8167	scaffold258|size8167	258	258	8167
scaffold259|size8140	scaffold259|size8140	259	259	8140
scaffold260|size8120	scaffold260|size8120	260	260	8120
scaffold261|size8058	scaffold261|size8058	261	261	8058
scaffold262|size8055	scaffold262|size8055	262	262	8055
scaffold263|size8048	scaffold263|size8048	263	263	8048
scaffold264|size8036	scaffold264|size8036	264	264	8036
scaffold265|size7987	scaffold265|size7987	265	265	7987
scaffold266|size7970	scaffold266|size7970	266	266	7970
scaffold267|size7941	scaffold267|size7941	267	267	7941
scaffold268|size7773	scaffold268|size7773	268	268	7773
scaffold269|size7714	scaffold269|size7714	269	269	7714
scaffold270|size7712	scaffold270|size7712	270	270	7712
scaffold271|size7684	scaffold271|size7684	271	271	7684
scaffold272|size7674	scaffold272|size7674	272	272	7674
scaffold273|size7631	scaffold273|size7631	273	273	7631
scaffold274|size7625	scaffold274|size7625	274	274	7625
scaffold275|size7612	scaffold275|size7612	275	275	7612
scaffold276|size7603	scaffold276|size7603	276	276	7603
scaffold277|size7520	scaffold277|size7520	277	277	7520
scaffold278|size7505	scaffold278|size7505	278	278	7505
scaffold279|size7498	scaffold279|size7498	279	279	7498
scaffold280|size7487	scaffold280|size7487	280	280	7487
scaffold281|size7483	scaffold281|size7483	281	281	7483
scaffold282|size7460	scaffold282|size7460	282	282	7460
scaffold283|size7456	scaffold283|size7456	283	283	7456
scaffold284|size7452	scaffold284|size7452	284	284	7452
scaffold285|size7384	scaffold285|size7384	285	285	7384
scaffold286|size7380	scaffold286|size7380	286	286	7380
scaffold287|size7349	scaffold287|size7349	287	287	7349
scaffold288|size7337	scaffold288|size7337	288	288	7337
scaffold289|size7310	scaffold289|size7310	289	289	7310
scaffold290|size7301	scaffold290|size7301	290	290	7301
scaffold291|size7293	scaffold291|size7293	291	291	7293
scaffold292|size7171	scaffold292|size7171	292	292	7171
scaffold293|size7170	scaffold293|size7170	293	293	7170
scaffold294|size7141	scaffold294|size7141	294	294	7141
scaffold295|size7115	scaffold295|size7115	295	295	7115
scaffold296|size7097	scaffold296|size7097	296	296	7097
scaffold297|size7080	scaffold297|size7080	297	297	7080
scaffold298|size7069	scaffold298|size7069	298	298	7069
scaffold299|size7053	scaffold299|size7053	299	299	7053
scaffold300|size7024	scaffold300|size7024	300	300	7024
scaffold301|size6971	scaffold301|size6971	301	301	6971
scaffold302|size6951	scaffold302|size6951	302	302	6951
scaffold303|size6824	scaffold303|size6824	303	303	6824
scaffold304|size6817	scaffold304|size6817	304	304	6817
scaffold305|size6806	scaffold305|size6806	305	305	6806
scaffold306|size6796	scaffold306|size6796	306	306	6796
scaffold307|size6783	scaffold307|size6783	307	307	6783
scaffold308|size6748	scaffold308|size6748	308	308	6748
scaffold309|size6663	scaffold309|size6663	309	309	6663
scaffold310|size6641	scaffold310|size6641	310	310	6641
scaffold311|size6622	scaffold311|size6622	311	311	6622
scaffold312|size6607	scaffold312|size6607	312	312	6607
scaffold313|size6534	scaffold313|size6534	313	313	6534
scaffold314|size6532	scaffold314|size6532	314	314	6532
scaffold315|size6517	scaffold315|size6517	315	315	6517
scaffold316|size6480	scaffold316|size6480	316	316	6480
scaffold317|size6460	scaffold317|size6460	317	317	6460
scaffold318|size6454	scaffold318|size6454	318	318	6454
scaffold319|size6427	scaffold319|size6427	319	319	6427
scaffold320|size6426	scaffold320|size6426	320	320	6426
scaffold321|size6417	scaffold321|size6417	321	321	6417
scaffold322|size6408	scaffold322|size6408	322	322	6408
scaffold323|size6408	scaffold323|size6408	323	323	6408
scaffold324|size6340	scaffold324|size6340	324	324	6340
scaffold325|size6334	scaffold325|size6334	325	325	6334
scaffold326|size6330	scaffold326|size6330	326	326	6330
scaffold327|size6282	scaffold327|size6282	327	327	6282
scaffold328|size6278	scaffold328|size6278	328	328	6278
scaffold329|size6271	scaffold329|size6271	329	329	6271
scaffold330|size6234	scaffold330|size6234	330	330	6234
scaffold331|size6220	scaffold331|size6220	331	331	6220
scaffold332|size6216	scaffold332|size6216	332	332	6216
scaffold333|size6201	scaffold333|size6201	333	333	6201
scaffold334|size6180	scaffold334|size6180	334	334	6180
scaffold335|size6179	scaffold335|size6179	335	335	6179
scaffold336|size6139	scaffold336|size6139	336	336	6139
scaffold337|size6095	scaffold337|size6095	337	337	6095
scaffold338|size6081	scaffold338|size6081	338	338	6081
scaffold339|size6055	scaffold339|size6055	339	339	6055
scaffold340|size6055	scaffold340|size6055	340	340	6055
scaffold341|size6053	scaffold341|size6053	341	341	6053
scaffold342|size6053	scaffold342|size6053	342	342	6053
scaffold343|size6025	scaffold343|size6025	343	343	6025
scaffold344|size6021	scaffold344|size6021	344	344	6021
scaffold345|size6017	scaffold345|size6017	345	345	6017
scaffold346|size6001	scaffold346|size6001	346	346	6001
scaffold347|size5937	scaffold347|size5937	347	347	5937
scaffold348|size5923	scaffold348|size5923	348	348	5923
scaffold349|size5923	scaffold349|size5923	349	349	5923
scaffold350|size5896	scaffold350|size5896	350	350	5896
scaffold351|size5867	scaffold351|size5867	351	351	5867
scaffold352|size5865	scaffold352|size5865	352	352	5865
scaffold353|size5852	scaffold353|size5852	353	353	5852
scaffold354|size5839	scaffold354|size5839	354	354	5839
scaffold355|size5832	scaffold355|size5832	355	355	5832
scaffold356|size5821	scaffold356|size5821	356	356	5821
scaffold357|size5791	scaffold357|size5791	357	357	5791
scaffold358|size5725	scaffold358|size5725	358	358	5725
scaffold359|size5705	scaffold359|size5705	359	359	5705
scaffold360|size5698	scaffold360|size5698	360	360	5698
scaffold361|size5683	scaffold361|size5683	361	361	5683
scaffold362|size5677	scaffold362|size5677	362	362	5677
scaffold363|size5644	scaffold363|size5644	363	363	5644
scaffold364|size5631	scaffold364|size5631	364	364	5631
scaffold365|size5629	scaffold365|size5629	365	365	5629
scaffold366|size5626	scaffold366|size5626	366	366	5626
scaffold367|size5567	scaffold367|size5567	367	367	5567
scaffold368|size5553	scaffold368|size5553	368	368	5553
scaffold369|size5553	scaffold369|size5553	369	369	5553
scaffold370|size5538	scaffold370|size5538	370	370	5538
scaffold371|size5518	scaffold371|size5518	371	371	5518
scaffold372|size5516	scaffold372|size5516	372	372	5516
scaffold373|size5513	scaffold373|size5513	373	373	5513
scaffold374|size5485	scaffold374|size5485	374	374	5485
scaffold375|size5481	scaffold375|size5481	375	375	5481
scaffold376|size5446	scaffold376|size5446	376	376	5446
scaffold377|size5444	scaffold377|size5444	377	377	5444
scaffold378|size5431	scaffold378|size5431	378	378	5431
scaffold379|size5430	scaffold379|size5430	379	379	5430
scaffold380|size5426	scaffold380|size5426	380	380	5426
scaffold381|size5394	scaffold381|size5394	381	381	5394
scaffold382|size5389	scaffold382|size5389	382	382	5389
scaffold383|size5387	scaffold383|size5387	383	383	5387
scaffold384|size5378	scaffold384|size5378	384	384	5378
scaffold385|size5331	scaffold385|size5331	385	385	5331
scaffold386|size5316	scaffold386|size5316	386	386	5316
scaffold387|size5285	scaffold387|size5285	387	387	5285
scaffold388|size5233	scaffold388|size5233	388	388	5233
scaffold389|size5203	scaffold389|size5203	389	389	5203
scaffold390|size5201	scaffold390|size5201	390	390	5201
scaffold391|size5200	scaffold391|size5200	391	391	5200
scaffold392|size5113	scaffold392|size5113	392	392	5113
scaffold393|size5109	scaffold393|size5109	393	393	5109
scaffold394|size5064	scaffold394|size5064	394	394	5064
scaffold395|size5024	scaffold395|size5024	395	395	5024
scaffold396|size5004	scaffold396|size5004	396	396	5004
scaffold397|size4975	scaffold397|size4975	397	397	4975
scaffold398|size4948	scaffold398|size4948	398	398	4948
scaffold399|size4924	scaffold399|size4924	399	399	4924
scaffold400|size4915	scaffold400|size4915	400	400	4915
scaffold401|size4906	scaffold401|size4906	401	401	4906
scaffold402|size4900	scaffold402|size4900	402	402	4900
scaffold403|size4889	scaffold403|size4889	403	403	4889
scaffold404|size4877	scaffold404|size4877	404	404	4877
scaffold405|size4870	scaffold405|size4870	405	405	4870
scaffold406|size4836	scaffold406|size4836	406	406	4836
scaffold407|size4788	scaffold407|size4788	407	407	4788
scaffold408|size4781	scaffold408|size4781	408	408	4781
scaffold409|size4757	scaffold409|size4757	409	409	4757
scaffold410|size4751	scaffold410|size4751	410	410	4751
scaffold411|size8398	scaffold411|size8398	411	411	8398
scaffold412|size4723	scaffold412|size4723	412	412	4723
scaffold413|size4716	scaffold413|size4716	413	413	4716
scaffold414|size4691	scaffold414|size4691	414	414	4691
scaffold415|size4691	scaffold415|size4691	415	415	4691
scaffold416|size4679	scaffold416|size4679	416	416	4679
scaffold417|size4675	scaffold417|size4675	417	417	4675
scaffold418|size4670	scaffold418|size4670	418	418	4670
scaffold419|size4661	scaffold419|size4661	419	419	4661
scaffold420|size4645	scaffold420|size4645	420	420	4645
scaffold421|size4618	scaffold421|size4618	421	421	4618
scaffold422|size4616	scaffold422|size4616	422	422	4616
scaffold423|size4574	scaffold423|size4574	423	423	4574
scaffold424|size4515	scaffold424|size4515	424	424	4515
scaffold425|size4483	scaffold425|size4483	425	425	4483
scaffold426|size4453	scaffold426|size4453	426	426	4453
scaffold427|size4426	scaffold427|size4426	427	427	4426
scaffold428|size4420	scaffold428|size4420	428	428	4420
scaffold429|size4294	scaffold429|size4294	429	429	4294
scaffold430|size4252	scaffold430|size4252	430	430	4252
scaffold431|size4233	scaffold431|size4233	431	431	4233
scaffold432|size4230	scaffold432|size4230	432	432	4230
scaffold433|size4224	scaffold433|size4224	433	433	4224
scaffold434|size4195	scaffold434|size4195	434	434	4195
scaffold435|size4189	scaffold435|size4189	435	435	4189
scaffold436|size4145	scaffold436|size4145	436	436	4145
scaffold437|size4123	scaffold437|size4123	437	437	4123
scaffold438|size4120	scaffold438|size4120	438	438	4120
scaffold439|size4056	scaffold439|size4056	439	439	4056
scaffold440|size4023	scaffold440|size4023	440	440	4023
scaffold441|size4013	scaffold441|size4013	441	441	4013
scaffold442|size3997	scaffold442|size3997	442	442	3997
scaffold443|size3986	scaffold443|size3986	443	443	3986
scaffold444|size3978	scaffold444|size3978	444	444	3978
scaffold445|size3976	scaffold445|size3976	445	445	3976
scaffold446|size3951	scaffold446|size3951	446	446	3951
scaffold447|size3932	scaffold447|size3932	447	447	3932
scaffold448|size3915	scaffold448|size3915	448	448	3915
scaffold449|size3876	scaffold449|size3876	449	449	3876
scaffold450|size3876	scaffold450|size3876	450	450	3876
scaffold451|size3861	scaffold451|size3861	451	451	3861
scaffold452|size3845	scaffold452|size3845	452	452	3845
scaffold453|size3832	scaffold453|size3832	453	453	3832
scaffold454|size3797	scaffold454|size3797	454	454	3797
scaffold455|size7027	scaffold455|size7027	455	455	7027
scaffold456|size3751	scaffold456|size3751	456	456	3751
scaffold457|size3741	scaffold457|size3741	457	457	3741
scaffold458|size3728	scaffold458|size3728	458	458	3728
scaffold459|size3713	scaffold459|size3713	459	459	3713
scaffold460|size3691	scaffold460|size3691	460	460	3691
scaffold461|size3650	scaffold461|size3650	461	461	3650
scaffold462|size3579	scaffold462|size3579	462	462	3579
scaffold463|size3520	scaffold463|size3520	463	463	3520
scaffold464|size3506	scaffold464|size3506	464	464	3506
scaffold465|size3450	scaffold465|size3450	465	465	3450
scaffold466|size3435	scaffold466|size3435	466	466	3435
scaffold467|size3417	scaffold467|size3417	467	467	3417
scaffold468|size3417	scaffold468|size3417	468	468	3417
scaffold469|size3389	scaffold469|size3389	469	469	3389
scaffold470|size3364	scaffold470|size3364	470	470	3364
scaffold471|size3346	scaffold471|size3346	471	471	3346
scaffold472|size3277	scaffold472|size3277	472	472	3277
scaffold473|size3270	scaffold473|size3270	473	473	3270
scaffold474|size3269	scaffold474|size3269	474	474	3269
scaffold475|size3267	scaffold475|size3267	475	475	3267
scaffold476|size3233	scaffold476|size3233	476	476	3233
scaffold477|size3227	scaffold477|size3227	477	477	3227
scaffold478|size3195	scaffold478|size3195	478	478	3195
scaffold479|size3132	scaffold479|size3132	479	479	3132
scaffold480|size3125	scaffold480|size3125	480	480	3125
scaffold481|size3101	scaffold481|size3101	481	481	3101
scaffold482|size3066	scaffold482|size3066	482	482	3066
scaffold483|size3061	scaffold483|size3061	483	483	3061
