cruise	cruise_index	scaffold	scaffold_index	size	num_hits	percid
HOT236	10	VS103	1	15.9	9347.791897	91.209998008
HOT236	10	VS40	53	24.419	37.2421987928	100.0
HOT236	10	VS43	78	24.068	465.52748491	92.96176
HOT236	10	VS45	51	23.869	14040.3089449	96.2634854111
HOT236	10	VS44	65	23.999	2774.54381007	93.0100268456
HOT236	10	VS47	93	23.51	2011.07873481	95.1611388889
HOT236	10	VS46	10	23.707	37.2421987928	96.552
HOT236	10	VS49	92	23.37	2271.77412636	89.3504836066
HOT236	10	VS48	50	23.468	37.2421987928	82.524
HOT238	12	VS88	31	17.085	34.1976510352	76.068
HOT229	5	VS15	19	34.769	197.671694298	91.0731666667
HOT237	11	VS23	106	30.926	6117.04597716	93.0625186567
HOT234	9	VS77	36	18.956	1205.4993272	95.2197333333
HOT236	10	VS100	26	16.054	130.347695775	100.0
HOT234	9	VS8	60	41.205	1982.37667139	94.7514864865
HOT224	1	VS99	72	16.095	1434.30400738	94.5320526316
HOT232	7	VS15	19	34.769	26996.9081144	94.7038717853
HOT234	9	VS69	39	20.158	1701.09349505	98.2223779528
HOT224	1	VS92	74	16.745	860.582404426	89.0194561404
HOT231	6	VS98	27	16.154	45247.0381263	99.4254905723
HOT237	11	VS58	100	21.89	25438.2378416	91.7401314491
HOT231	6	VS95	85	16.245	11719.6264813	94.2157139208
HOT231	6	VS97	28	16.161	11824.3996427	99.0801632911
HOT231	6	VS90	97	16.9	1182.43996427	95.3145316456
HOT237	11	VS10	96	39.744	24890.4426794	92.4984846401
HOT224	1	VS95	85	16.245	37050.3372011	93.6234881826
HOT224	1	VS94	29	16.502	5857.99952487	96.3589097938
HOT236	10	VS65	89	20.961	68004.2549957	90.7549110077
HOT237	11	VS14	69	35.649	2225.41784617	94.6847692308
HOT225	2	VS45	51	23.869	20555.2583911	96.6563100559
HOT227	4	VS90	97	16.9	166.843827004	95.4784
HOT227	4	VS92	74	16.745	367.056419408	88.7705454545
HOT227	4	VS93	73	16.542	7507.97221516	98.9978133333
HOT227	4	VS94	29	16.502	233.581357805	97.547
HOT227	4	VS95	85	16.245	27128.8062708	94.7317626076
HOT227	4	VS96	2	16.237	1368.11938143	97.6334634146
HOT227	4	VS97	28	16.161	8942.8291274	99.0973171642
HOT234	9	VS22	84	31.824	1138.52714235	93.8934235294
HOT231	6	VS35	12	26.017	224.513917266	94.2564666667
HOT229	5	VS82	4	17.697	790.686777192	94.2050208333
HOT238	12	VS37	81	25.828	444.569463457	91.3466153846
HOT238	12	VS14	69	35.649	4120.81694974	95.5786514523
HOT224	1	VS8	60	41.205	2808.21626708	92.4997473118
HOT238	12	VS35	12	26.017	205.185906211	90.409
HOT234	9	VS24	83	30.339	4393.37532579	96.6640945122
HOT229	5	VS39	80	25.02	5551.28008153	90.7776409496
HOT236	10	VS15	19	34.769	23872.2494262	98.472475819
HOT229	5	VS29	82	28.0	1531.95563081	89.6857634409
HOT229	5	VS23	106	30.926	33768.9144426	92.3461726829
HOT229	5	VS22	84	31.824	642.433006468	91.7710512821
HOT229	5	VS20	56	32.169	345.925465021	83.2235238095
HOT229	5	VS26	55	29.251	1070.72167745	96.936
HOT229	5	VS25	105	29.927	96612.0405881	93.1820081841
HOT229	5	VS24	83	30.339	444.76131217	91.7807777778
HOT233	8	VS102	71	15.97	57.6462513861	100.0
HOT233	8	VS69	39	20.158	432.346885395	97.3974666667
HOT233	8	VS66	42	20.808	129.704065619	93.4462222222
HOT233	8	VS67	41	20.689	1988.79567282	89.2861811594
HOT233	8	VS64	6	21.063	216.173442698	94.7516666667
HOT233	8	VS65	89	20.961	12840.7024962	92.1822469136
HOT233	8	VS62	43	21.29	864.693770791	98.3582666667
HOT233	8	VS63	7	21.131	273.819694084	98.2791052632
HOT233	8	VS60	102	26.94	191616.139607	94.9890030084
HOT233	8	VS61	90	21.296	3314.6594547	96.3999565217
HOT237	11	VS103	1	15.9	5329.59043159	89.5700792291
HOT237	11	VS104	24	15.868	479.320766867	90.3208571429
HOT237	11	VS108	20	15.11	68.4743952667	93.4546666667
HOT229	5	VS33	101	26.389	49500.2867804	94.8306945092
HOT237	11	VS80	75	18.052	45.6495968444	84.39075
HOT234	9	VS62	43	21.29	3857.59784703	97.6208194444
HOT232	7	VS8	60	41.205	382.363961368	87.1436052632
HOT232	7	VS4	62	54.391	107021.660345	99.1579559985
HOT232	7	VS5	61	51.494	6510.24955276	99.3628655332
HOT232	7	VS7	70	43.665	4236.19020357	96.0804299287
HOT232	7	VS3	63	57.845	29522.5227014	98.5477791411
HOT225	2	VS46	10	23.707	57.4169228801	100.0
HOT224	1	VS3	63	57.845	171648.444841	98.9471577975
HOT234	9	VS65	89	20.961	64775.4971814	90.5116327543
HOT234	9	VS64	6	21.063	361.649798159	93.871
HOT234	9	VS67	41	20.689	5665.84683783	88.5264893617
HOT234	9	VS66	42	20.808	147.338806657	86.7139090909
HOT234	9	VS63	7	21.131	80.3666218132	90.2616666667
HOT224	1	VS11	58	39.219	9239.93739489	93.6424803922
HOT224	1	VS10	96	39.744	125101.505317	93.874551412
HOT224	1	VS17	95	34.077	920.974152106	96.836704918
HOT224	1	VS16	68	34.431	15867.9317027	99.0835309229
HOT224	1	VS14	69	35.649	24081.209387	98.111138558
HOT224	1	VS19	17	33.814	1117.24733206	98.2371621622
HOT229	5	VS10	96	39.744	108241.725269	92.710056308
HOT232	7	VS189	76	18.494	10.0622095097	84.932
HOT227	4	VS58	100	21.89	83288.4384402	93.5323413462
HOT236	10	VS99	72	16.095	167.589894568	96.8503333333
HOT236	10	VS92	74	16.745	335.179789135	88.7833888889
HOT236	10	VS93	73	16.542	11582.3238246	97.4889807074
HOT236	10	VS90	97	16.9	316.558689739	95.0478823529
HOT236	10	VS96	2	16.237	502.769683703	93.6827777778
HOT236	10	VS97	28	16.161	52697.7112918	98.9516621908
HOT236	10	VS94	29	16.502	3258.69239437	99.2923942857
HOT236	10	VS95	85	16.245	12960.2851799	91.3528103448
HOT232	7	VS32	14	26.81	231.430818722	92.8204782609
HOT237	11	VS69	39	20.158	182.598387378	99.799
HOT237	11	VS63	7	21.131	22.8247984222	92.424
HOT237	11	VS60	102	26.94	64468.6431436	92.8726610019
HOT237	11	VS66	42	20.808	11.4123992111	87.143
HOT237	11	VS65	89	20.961	4507.89768839	92.0731594937
HOT234	9	VS5	61	51.494	40290.4664023	99.2982117686
HOT229	5	VS5	61	51.494	18416.4128521	98.5632280859
HOT229	5	VS7	70	43.665	15978.4619558	94.9352010309
HOT229	5	VS8	60	41.205	1663.73676034	87.9982970297
HOT229	5	VS9	59	40.844	247.089617872	99.247
HOT231	6	VS3	63	57.845	10552.1541115	97.5369886525
HOT233	8	VS88	31	17.085	100.880939926	99.738
HOT231	6	VS5	61	51.494	4580.08391223	98.7459150327
HOT231	6	VS4	62	54.391	35353.4581722	98.9526549534
HOT227	4	VS82	4	17.697	433.793950209	93.7528461538
HOT227	4	VS81	99	17.724	18019.1333164	92.87555
HOT227	4	VS80	75	18.052	66.7375308015	93.0555
HOT227	4	VS86	98	17.364	18085.8708472	93.9091162362
HOT227	4	VS85	3	17.456	15516.4759113	99.1778344086
HOT227	4	VS84	33	17.492	100.106296202	100.0
HOT227	4	VS89	66	16.912	1902.01962784	99.1416842105
HOT236	10	VS89	66	16.912	2588.3328161	97.7246546763
HOT234	9	VS34	13	26.379	294.677613315	99.6723636364
HOT226	3	VS85	3	17.456	36822.8214437	99.1209432836
HOT229	5	VS16	68	34.431	1844.93581345	96.4415178571
HOT229	5	VS14	69	35.649	7577.41494809	94.61025
HOT236	10	VS104	24	15.868	1284.85585835	92.257115942
HOT229	5	VS13	57	35.89	44558.494423	90.8178240296
HOT229	5	VS19	17	33.814	527.124518128	94.8824375
HOT233	8	VS71	37	19.786	144.115628465	91.0963
HOT233	8	VS70	38	20.074	28.823125693	100.0
HOT233	8	VS73	77	19.655	417.935322549	85.756137931
HOT233	8	VS72	5	19.667	288.23125693	94.35855
HOT233	8	VS75	87	19.149	4899.93136781	89.6571558824
HOT233	8	VS74	88	19.487	994.397836409	91.4894057971
HOT233	8	VS77	36	18.956	562.050951014	95.4163076923
HOT229	5	VS49	92	23.37	7396.21589498	93.0030311804
HOT229	5	VS56	45	22.492	4315.83199217	92.8660877863
HOT229	5	VS57	44	22.358	115.30848834	97.4872857143
HOT229	5	VS93	73	16.542	15187.7751786	96.512664859
HOT234	9	VS48	50	23.468	281.283176346	92.5276190476
HOT234	9	VS31	103	27.846	138752.97256	93.4324313158
HOT224	1	VS102	71	15.97	1132.34526898	99.6490666667
HOT234	9	VS19	17	33.814	3094.11493981	99.6000909091
HOT224	1	VS104	24	15.868	2642.13896096	94.6631657143
HOT234	9	VS13	57	35.89	25583.3746105	93.6620958115
HOT234	9	VS15	19	34.769	4996.12498938	94.6876327078
HOT234	9	VS16	68	34.431	9376.1058782	97.9853042857
HOT225	2	VS35	12	26.017	1291.8807648	99.2936888889
HOT225	2	VS37	81	25.828	3387.59844993	94.2388983051
HOT225	2	VS30	104	27.949	51732.647515	92.5976847947
HOT225	2	VS31	103	27.846	122068.378043	92.1450343368
HOT225	2	VS32	14	26.81	1578.9653792	92.2134727273
HOT225	2	VS33	101	26.389	23282.5622279	93.3622577065
HOT225	2	VS38	54	25.81	41225.3506279	98.7629860724
HOT225	2	VS39	80	25.02	4134.01844737	92.0430138889
HOT238	12	VS39	80	25.02	666.854195186	92.2981282051
HOT229	5	VS46	10	23.707	32.945282383	100.0
HOT231	6	VS39	80	25.02	2439.71790096	93.0319018405
HOT224	1	VS28	15	28.336	981.365899785	99.1272769231
HOT224	1	VS29	82	28.0	1056.85558438	88.9160428571
HOT224	1	VS26	55	29.251	14056.1792723	99.1780354458
HOT224	1	VS24	83	30.339	2340.18022256	93.7059612903
HOT224	1	VS25	105	29.927	174607.640477	95.8809507134
HOT224	1	VS22	84	31.824	1404.10813354	93.6471505376
HOT224	1	VS23	106	30.926	44448.3262918	94.9467547554
HOT224	1	VS20	56	32.169	1690.96893501	87.8027410714
HOT224	1	VS21	94	32.028	32098.2138914	92.613664158
HOT236	10	VS85	3	17.456	5455.98212315	97.9315494881
HOT236	10	VS86	98	17.364	5698.0564153	89.2725359477
HOT236	10	VS81	99	17.724	6833.94347848	91.7824168937
HOT236	10	VS80	75	18.052	242.074292153	93.1801538462
HOT236	10	VS82	4	17.697	595.875180685	94.30184375
HOT224	1	VS103	1	15.9	24352.9722516	89.8344928704
HOT236	10	VS88	31	17.085	148.968795171	92.905375
HOT226	3	VS86	98	17.364	7447.00344123	88.1174169742
HOT226	3	VS84	33	17.492	164.878304972	98.2036666667
HOT226	3	VS82	4	17.697	632.033502392	94.4933478261
HOT226	3	VS80	75	18.052	1483.90474475	93.3181111111
HOT226	3	VS81	99	17.724	9755.29971084	91.7942338028
HOT226	3	VS89	66	16.912	9727.81999334	99.1330932203
HOT225	2	VS34	13	26.379	430.626921601	98.1276666667
HOT226	3	VS69	39	20.158	439.675479925	100.0
HOT226	3	VS65	89	20.961	43747.7102525	92.2342619347
HOT226	3	VS66	42	20.808	1071.70898232	88.7159230769
HOT226	3	VS67	41	20.689	5138.70717162	91.1039090909
HOT226	3	VS60	102	26.94	137013.871432	93.1886147212
HOT226	3	VS61	90	21.296	19180.8428117	96.4699383954
HOT226	3	VS62	43	21.29	6182.93643645	98.7518533333
HOT229	5	VS3	63	57.845	109691.317694	97.6880456525
HOT234	9	VS51	9	22.88	361.649798159	93.7395555556
HOT237	11	VS75	87	19.149	2636.26421777	90.7148181818
HOT237	11	VS74	88	19.487	1164.06471953	93.4602843137
HOT237	11	VS77	36	18.956	102.7115929	91.1768888889
HOT237	11	VS76	67	19.088	45.6495968444	96.06675
HOT237	11	VS73	77	19.655	91.2991936889	92.248
HOT237	11	VS79	86	18.396	1129.8275219	89.4673939394
HOT224	1	VS107	21	15.344	1736.26274577	99.2482434783
HOT234	9	VS28	15	28.336	3187.87599859	99.6610210084
HOT231	6	VS63	7	21.131	29.9351889688	92.8115
HOT234	9	VS189	76	18.494	522.383041786	93.7594615385
HOT233	8	VS80	75	18.052	216.173442698	93.491
HOT233	8	VS81	99	17.724	20507.6539306	94.6753457484
HOT233	8	VS82	4	17.697	662.93189094	96.0120217391
HOT233	8	VS89	66	16.912	1902.32629574	99.3028257576
HOT238	12	VS19	17	33.814	102.592953105	99.5983333333
HOT231	6	VS8	60	41.205	449.027834532	88.3118
HOT225	2	VS64	6	21.063	143.5423072	93.2644
HOT236	10	VS35	12	26.017	633.117379478	92.4498235294
HOT225	2	VS68	40	20.46	114.83384576	99.58
HOT236	10	VS37	81	25.828	800.707274046	93.2515813953
HOT236	10	VS30	104	27.949	24263.2925135	91.5759608596
HOT236	10	VS32	14	26.81	633.117379478	93.0587352941
HOT237	11	VS71	37	19.786	57.0619960556	88.6888
HOT225	2	VS26	55	29.251	16564.7822509	99.1778110919
HOT225	2	VS25	105	29.927	81962.6574114	95.4436542907
HOT225	2	VS24	83	30.339	1291.8807648	93.6085777778
HOT225	2	VS23	106	30.926	28909.4206701	94.4669821251
HOT225	2	VS22	84	31.824	976.087688962	94.3234705882
HOT225	2	VS21	94	32.028	28966.837593	93.5465143707
HOT225	2	VS20	56	32.169	1837.34153216	93.747703125
HOT236	10	VS38	54	25.81	24859.1676942	98.8223850187
HOT225	2	VS29	82	28.0	574.169228801	87.5128
HOT225	2	VS28	15	28.336	2181.84306944	99.7241710526
HOT238	12	VS75	87	19.149	5095.45000424	89.2190469799
HOT238	12	VS4	62	54.391	17372.4067259	98.674121063
HOT237	11	VS72	5	19.667	616.2695574	91.3955555556
HOT234	9	VS56	45	22.492	1660.91018414	94.2755080645
HOT231	6	VS65	89	20.961	8247.1445609	91.9740834846
HOT224	1	VS39	80	25.02	4937.02537276	92.3580856269
HOT224	1	VS38	54	25.81	26844.1318433	98.1396124859
HOT224	1	VS31	103	27.846	143626.673918	92.6029663618
HOT224	1	VS30	104	27.949	73557.1486731	93.1113093186
HOT224	1	VS32	14	26.81	1087.05145822	92.3278333333
HOT224	1	VS35	12	26.017	936.072089025	98.0229032258
HOT224	1	VS34	13	26.379	543.525729111	95.7158055556
HOT224	1	VS37	81	25.828	5435.25729111	95.4848388889
HOT234	9	VS58	100	21.89	73160.4147239	94.916339253
HOT226	3	VS90	97	16.9	2445.69485708	96.3733483146
HOT226	3	VS93	73	16.542	40312.7455656	98.6404164963
HOT226	3	VS92	74	16.745	1181.6278523	88.8151627907
HOT226	3	VS95	85	16.245	51606.9094562	95.2970266241
HOT226	3	VS94	29	16.502	6732.53078635	97.9263346939
HOT226	3	VS97	28	16.161	31436.7968146	99.2021765734
HOT226	3	VS96	2	16.237	25446.2184007	97.3878682505
HOT226	3	VS99	72	16.095	467.15519742	95.2348235294
HOT231	6	VS17	95	34.077	284.384295204	98.7937894737
HOT226	3	VS79	86	18.396	6595.13219888	91.1767208333
HOT226	3	VS77	36	18.956	934.310394841	94.8871764706
HOT226	3	VS76	67	19.088	27.4797174953	84.314
HOT226	3	VS75	87	19.149	11129.2855856	91.1840641975
HOT226	3	VS73	77	19.655	796.911807364	92.0583448276
HOT226	3	VS72	5	19.667	164.878304972	98.5118333333
HOT226	3	VS71	37	19.786	1373.98587477	91.1657
HOT226	3	VS70	38	20.074	18686.2078968	98.9638426471
HOT234	9	VG1	107	164.235	269482.677377	96.3419000944
HOT237	11	VS37	81	25.828	319.547177911	90.4545357143
HOT234	9	VS74	88	19.487	4795.20843485	93.2798184358
HOT231	6	VS7	70	43.665	6959.93143525	97.3548365591
HOT232	7	VS58	100	21.89	18142.1637459	93.8638358292
HOT232	7	VS53	48	22.706	40.2488380387	90.58
HOT231	6	VS41	79	24.277	59.8703779376	93.75
HOT226	3	VS39	80	25.02	3380.00525192	93.231804878
HOT231	6	VS52	49	22.818	523.865806954	93.2198571429
HOT233	8	VS48	50	23.468	389.112196856	93.7844814815
HOT238	12	VS108	20	15.11	273.581208281	91.74825
HOT231	6	VS28	15	28.336	1466.82425947	99.3112653061
HOT231	6	VS29	82	28.0	628.638968345	91.5355
HOT231	6	VS24	83	30.339	104.773161391	90.8108571429
HOT231	6	VS25	105	29.927	46878.5059251	95.342704023
HOT231	6	VS20	56	32.169	74.837972422	91.3106
HOT231	6	VS21	94	32.028	5193.75528609	92.0688674352
HOT231	6	VS22	84	31.824	29.9351889688	97.059
HOT233	8	VS97	28	16.161	3473.18664601	98.9285975104
HOT233	8	VS96	2	16.237	273.819694084	92.4252631579
HOT233	8	VS95	85	16.245	8776.64177353	93.981318555
HOT233	8	VS94	29	16.502	2277.02692975	97.958835443
HOT233	8	VS93	73	16.542	5289.04356467	95.475147139
HOT233	8	VS92	74	16.745	172.938754158	88.2218333333
HOT233	8	VS90	97	16.9	634.108765247	94.5982272727
HOT233	8	VS99	72	16.095	28.823125693	88.0
HOT224	1	VS189	76	18.494	996.463836704	93.2198787879
HOT238	12	VS105	23	15.809	957.534228985	89.4436607143
HOT238	12	VS104	24	15.868	1812.47550486	92.3883207547
HOT234	9	VS52	49	22.818	884.032839945	92.6624242424
HOT234	9	VS35	12	26.017	93.761058782	90.7051428571
HOT234	9	VS32	14	26.81	696.510722381	91.6423653846
HOT234	9	VS33	101	26.389	27471.9902231	95.0332662116
HOT237	11	VS2	64	68.964	22.8247984222	98.485
HOT234	9	VS38	54	25.81	61708.1711155	99.0193859344
HOT234	9	VS39	80	25.02	1928.79892352	93.575875
HOT225	2	VS13	57	35.89	27674.9568282	93.7787821577
HOT225	2	VS10	96	39.744	76106.1312776	92.0927506601
HOT225	2	VS16	68	34.431	17914.0799386	99.1314695513
HOT225	2	VS17	95	34.077	1980.88383936	98.2525942029
HOT225	2	VS14	69	35.649	20871.0514669	97.8519752407
HOT225	2	VS15	19	34.769	2181.84306944	95.5119210526
HOT225	2	VS19	17	33.814	2727.30383681	98.8560210526
HOT238	12	VS106	22	15.427	256.482382764	94.8538
HOT229	5	VS73	77	19.655	1004.83111268	88.2542131148
HOT238	12	VS103	1	15.9	8498.11628224	91.1074426559
HOT236	10	VG1	107	164.235	40109.8480999	92.3359623955
HOT232	7	VS66	42	20.808	100.622095097	96.2133
HOT234	9	VS53	48	22.706	187.522117564	92.1035714286
HOT224	1	VS93	73	16.542	20472.8024632	97.3937809735
HOT237	11	VS101	25	16.015	22.8247984222	88.8
HOT226	3	VS102	71	15.97	1483.90474475	99.743537037
HOT226	3	VS103	1	15.9	27314.8391903	90.5333440644
HOT226	3	VS100	26	16.054	494.634914916	93.5147777778
HOT226	3	VS101	25	16.015	1951.05994217	97.847084507
HOT226	3	VS106	22	15.427	522.114632411	97.168
HOT226	3	VS104	24	15.868	2088.45852964	93.8856184211
HOT226	3	VS105	23	15.809	3764.72129686	89.3849124088
HOT226	3	VS108	20	15.11	3517.4038394	94.458640625
HOT238	12	VS80	75	18.052	68.3953020703	99.0
HOT237	11	VS50	91	23.177	4713.32087419	93.609
HOT238	12	VS43	78	24.068	923.336577949	93.4717962963
HOT226	3	VS48	50	23.468	6677.57135136	93.0724197531
HOT226	3	VS49	92	23.37	8683.59072852	93.0017563291
HOT226	3	VS42	52	24.121	3819.68073185	97.1591438849
HOT226	3	VS43	78	24.068	4973.82886665	94.5612430939
HOT226	3	VS41	79	24.277	82.4391524859	83.5406666667
HOT226	3	VS47	93	23.51	6375.29445891	96.5282586207
HOT226	3	VS44	65	23.999	11156.7653031	96.6040147783
HOT226	3	VS45	51	23.869	35751.1124614	97.1225995388
HOT237	11	VS51	9	22.88	57.0619960556	94.2304
HOT229	5	VS70	38	20.074	98.835847149	94.9073333333
HOT233	8	VS34	13	26.379	144.115628465	94.1737
HOT237	11	VS13	57	35.89	3423.71976333	93.5031333333
HOT237	11	VS11	58	39.219	182.598387378	96.5198125
HOT237	11	VS17	95	34.077	102.7115929	97.5412222222
HOT237	11	VS16	68	34.431	456.495968444	94.631475
HOT237	11	VS15	19	34.769	547.795162133	92.9922291667
HOT237	11	VS19	17	33.814	285.309980278	97.2746
HOT231	6	VS104	24	15.868	2589.3938458	93.8808901734
HOT224	1	VS69	39	20.158	1389.01019662	97.6440543478
HOT237	11	VS67	41	20.689	901.579537678	89.457164557
HOT237	11	VS106	22	15.427	79.8867944778	95.6755714286
HOT234	9	VS94	29	16.502	9161.7948867	97.770621345
HOT227	4	VS54	47	22.665	1635.06950464	90.6340408163
HOT227	4	VS56	45	22.492	1801.91333164	96.999
HOT227	4	VS57	44	22.358	300.318888607	100.0
HOT227	4	VS50	91	23.177	16150.482454	95.4991756198
HOT227	4	VS51	9	22.88	100.106296202	100.0
HOT227	4	VS52	49	22.818	100.106296202	93.9406666667
HOT229	5	VS61	90	21.296	21958.0307083	96.2394936234
HOT225	2	VS105	23	15.809	3990.47614017	88.5887841727
HOT225	2	VS189	76	18.494	947.379227522	94.8355151515
HOT231	6	VS34	13	26.379	29.9351889688	100.0
HOT231	6	VS33	101	26.389	21942.4935141	95.0447312415
HOT231	6	VS32	14	26.81	224.513917266	94.985
HOT231	6	VS31	103	27.846	71365.4905016	93.6301719799
HOT238	12	VS50	91	23.177	11233.9283651	94.1020410959
HOT238	12	VS15	19	34.769	495.86594001	94.0756206897
HOT238	12	VS16	68	34.431	547.162416563	93.277
HOT238	12	VS11	58	39.219	1265.3130883	94.6205
HOT237	11	VS32	14	26.81	251.072782644	93.9287272727
HOT234	9	VS11	58	39.219	4915.75836757	93.0318501362
HOT237	11	VS57	44	22.358	365.196774756	98.27475
HOT234	9	VS23	106	30.926	29869.5944406	94.4851959641
HOT234	9	VS25	105	29.927	101918.270896	95.8466347746
HOT231	6	VS94	29	16.502	2903.71332997	96.9028969072
HOT234	9	VS29	82	28.0	2786.04288952	93.4872740385
HOT231	6	VS96	2	16.237	763.347318704	93.3745098039
HOT237	11	VS52	49	22.818	125.536391322	88.288
HOT231	6	VS26	55	29.251	643.606562829	99.1774418605
HOT231	6	VS106	22	15.427	449.027834532	93.4458666667
HOT231	6	VS105	23	15.809	1721.27336571	87.6287652174
HOT231	6	VS103	1	15.9	15611.2010472	89.9842061361
HOT231	6	VS100	26	16.054	29.9351889688	100.0
HOT234	9	VS43	78	24.068	1285.86594901	90.0655729167
HOT237	11	VS81	99	17.724	6550.71714718	92.0943379791
HOT232	7	VS96	2	16.237	342.115123329	93.4502352941
HOT232	7	VS97	28	16.161	13453.1741144	99.3849670905
HOT232	7	VS94	29	16.502	3270.21809064	98.2098769231
HOT232	7	VS95	85	16.245	6580.68501933	93.044206422
HOT232	7	VS92	74	16.745	422.612799406	89.2985952381
HOT232	7	VS93	73	16.542	4336.81229867	96.2796519722
HOT232	7	VS90	97	16.9	311.9284948	97.7606774194
HOT232	7	VS99	72	16.095	10.0622095097	93.22
HOT226	3	VS54	47	22.665	3544.8835569	95.527124031
HOT226	3	VS57	44	22.358	1016.74954733	98.139
HOT226	3	VS56	45	22.492	9068.30677345	95.4946333333
HOT226	3	VS51	9	22.88	54.9594349906	98.2145
HOT226	3	VS50	91	23.177	25968.3330331	96.1038455026
HOT232	7	VS74	88	19.487	1428.83375037	88.7551901408
HOT232	7	VS75	87	19.149	3853.8262422	89.9515117493
HOT232	7	VS76	67	19.088	10.0622095097	100.0
HOT232	7	VS77	36	18.956	382.363961368	93.0252105263
HOT226	3	VS58	100	21.89	42043.9677678	94.0083601307
HOT232	7	VS72	5	19.667	231.430818722	94.8055217391
HOT232	7	VS73	77	19.655	221.368609213	91.4704090909
HOT237	11	VS56	45	22.492	171.185988167	99.0819333333
HOT236	10	VS71	37	19.786	74.4843975856	100.0
HOT237	11	VS54	47	22.665	136.948790533	92.9429166667
HOT227	4	VS47	93	23.51	3436.98283627	93.6298932039
HOT227	4	VS45	51	23.869	35971.529102	97.4802346939
HOT227	4	VS44	65	23.999	1835.28209704	95.6451272727
HOT227	4	VS43	78	24.068	1201.27555443	94.04675
HOT227	4	VS42	52	24.121	1167.90678903	96.2482285714
HOT227	4	VS49	92	23.37	2736.23876286	93.7394512195
HOT233	8	VS17	95	34.077	345.877508316	98.3159166667
HOT236	10	VS69	39	20.158	167.589894568	99.4073333333
HOT237	11	VS28	15	28.336	114.123992111	97.3334
HOT237	11	VS29	82	28.0	68.4743952667	82.847
HOT237	11	VS22	84	31.824	22.8247984222	100.0
HOT232	7	VS50	91	23.177	12024.3403641	93.6482368201
HOT234	9	VS21	94	32.028	42446.9707543	96.1993124014
HOT234	9	VS14	69	35.649	16515.3407826	97.8691216545
HOT236	10	VS60	102	26.94	86532.2488951	92.7478721756
HOT236	10	VS67	41	20.689	5158.04453281	89.9800974729
HOT231	6	VS38	54	25.81	2694.16700719	97.3761444444
HOT236	10	VS64	6	21.063	37.2421987928	100.0
HOT231	6	VS37	81	25.828	224.513917266	90.6350666667
HOT232	7	VS78	35	18.738	30.186628529	100.0
HOT232	7	VS79	86	18.396	1650.20235959	89.8467743902
