cruise	cruise_index	scaffold	scaffold_index	size	num_hits	percid
HOT234	9	VS62	43	21.29	1955.58779745	100.0
HOT227	4	VS54	47	22.665	600.637777213	91.1080555556
HOT227	4	VS189	76	18.494	333.687654007	91.07
HOT236	10	VS85	3	17.456	3016.61810222	100.0
HOT236	10	VS84	33	17.492	1098.64486439	87.5487118644
HOT236	10	VS87	32	17.269	111.726596378	87.1038333333
HOT236	10	VS86	98	17.364	15548.617996	89.627
HOT236	10	VS81	99	17.724	11694.0504209	91.1897468153
HOT236	10	VS80	75	18.052	744.843975856	92.0567
HOT236	10	VS82	4	17.697	37.2421987928	100.0
HOT236	10	VS89	66	16.912	7392.57646038	90.1262770781
HOT226	3	VS68	40	20.46	1209.10756979	93.3230454545
HOT226	3	VS69	39	20.158	1071.70898232	92.6900769231
HOT226	3	VS64	6	21.063	109.918869981	78.81975
HOT226	3	VS65	89	20.961	54904.4755556	97.3732077077
HOT226	3	VS66	42	20.808	3544.8835569	89.5223333333
HOT226	3	VS67	41	20.689	8930.90818598	93.7488430769
HOT226	3	VS60	102	26.94	130418.739233	96.1569742941
HOT226	3	VS61	90	21.296	12063.5959804	100.0
HOT226	3	VS62	43	21.29	3819.68073185	100.0
HOT237	11	VS75	87	19.149	1027.115929	93.9339888889
HOT237	11	VS74	88	19.487	661.919154244	97.1091896552
HOT237	11	VS77	36	18.956	388.021573178	85.9641470588
HOT237	11	VS76	67	19.088	502.145565289	94.5606818182
HOT237	11	VS71	37	19.786	136.948790533	94.55975
HOT237	11	VS70	38	20.074	45.6495968444	78.66875
HOT237	11	VS73	77	19.655	479.320766867	90.2730714286
HOT237	11	VS72	5	19.667	159.773588956	83.7171428571
HOT237	11	VS79	86	18.396	1061.35312663	92.2567956989
HOT237	11	VS78	35	18.738	34.2371976333	78.5713333333
HOT238	12	VS14	69	35.649	5830.6995015	90.5271524927
HOT238	12	VS10	96	39.744	74516.6816056	95.759018816
HOT231	6	VS47	93	23.51	4714.79226259	100.0
HOT237	11	VS102	71	15.97	91.2991936889	82.055125
HOT226	3	VS49	92	23.37	5688.30152153	98.982531401
HOT226	3	VS42	52	24.121	8848.46903349	92.5997546584
HOT226	3	VS43	78	24.068	4231.87649428	97.4322987013
HOT226	3	VS40	53	24.419	1483.90474475	82.4264259259
HOT226	3	VS41	79	24.277	6073.01756646	95.6234886878
HOT226	3	VS46	10	23.707	109.918869981	76.7995
HOT226	3	VS47	93	23.51	5578.38265155	98.5996108374
HOT226	3	VS45	51	23.869	17367.181457	100.0
HOT237	11	VS13	57	35.89	3457.95696097	95.898990099
HOT237	11	VS11	58	39.219	353.784375544	92.266
HOT237	11	VS10	96	39.744	40810.7395789	94.2344423937
HOT237	11	VS17	95	34.077	182.598387378	88.17825
HOT237	11	VS16	68	34.431	3492.1941586	90.0424803922
HOT237	11	VS15	19	34.769	445.083569233	89.708025641
HOT237	11	VS14	69	35.649	2613.43941934	89.4222052402
HOT237	11	VS19	17	33.814	182.598387378	98.9130625
HOT237	11	VS18	18	34.068	5055.69285052	76.0702234763
HOT226	3	VS97	28	16.161	24017.2730909	100.0
HOT231	6	VS39	80	25.02	2275.07436163	96.6808881579
HOT231	6	VS38	54	25.81	3008.48649136	98.7749850746
HOT231	6	VS37	81	25.828	523.865806954	88.6287428571
HOT231	6	VS35	12	26.017	179.611133813	93.6314166667
HOT231	6	VS34	13	26.379	449.027834532	82.2140333333
HOT231	6	VS33	101	26.389	30189.638075	94.0336985622
HOT231	6	VS32	14	26.81	778.314913189	94.4241153846
HOT231	6	VS31	103	27.846	99384.8273764	95.3873751506
HOT231	6	VS30	104	27.949	19712.321936	96.0449187547
HOT234	9	VS21	94	32.028	31972.5210447	99.5471860075
HOT234	9	VS20	56	32.169	5237.22485482	94.2539258312
HOT234	9	VS23	106	30.926	35066.6359845	94.735381971
HOT234	9	VS22	84	31.824	3348.60924222	96.990128
HOT234	9	VS25	105	29.927	64842.4693663	99.2596323074
HOT234	9	VS24	83	30.339	6884.74060199	96.7499902724
HOT234	9	VS27	16	29.202	26.7888739377	100.0
HOT234	9	VS26	55	29.251	6402.54087112	99.3813702929
HOT234	9	VS29	82	28.0	3790.62566219	96.285130742
HOT234	9	VS28	15	28.336	2919.98725921	99.5924541284
HOT232	7	VS96	2	16.237	855.287808322	96.2596823529
HOT232	7	VS97	28	16.161	10635.7554517	100.0
HOT232	7	VS94	29	16.502	2173.43725409	100.0
HOT232	7	VS95	85	16.245	5343.03324964	97.9120037665
HOT232	7	VS92	74	16.745	472.923846955	91.8385957447
HOT232	7	VS93	73	16.542	2203.62388262	100.0
HOT232	7	VS90	97	16.9	181.119771174	98.4814444444
HOT232	7	VS91	30	16.88	30.186628529	76.923
HOT232	7	VS98	27	16.154	90.559885587	77.659
HOT232	7	VS99	72	16.095	1187.34072214	85.2088898305
HOT226	3	VS20	56	32.169	4726.51140919	94.0417906977
HOT226	3	VS21	94	32.028	34047.3699767	97.1313381759
HOT226	3	VS22	84	31.824	4726.51140919	96.4754069767
HOT226	3	VS23	106	30.926	32810.7826894	90.8621298157
HOT226	3	VS24	83	30.339	8381.31383607	94.6267770492
HOT226	3	VS25	105	29.927	49875.687254	98.3701190083
HOT226	3	VS26	55	29.251	4121.9576243	95.5325333333
HOT226	3	VS28	15	28.336	1896.10050718	87.578826087
HOT226	3	VS29	82	28.0	3187.64722946	93.1250172414
HOT229	5	VS189	76	18.494	1663.73676034	88.5309306931
HOT237	11	VS39	80	25.02	627.681956611	93.1128181818
HOT237	11	VS38	54	25.81	7155.57430537	100.0
HOT237	11	VS31	103	27.846	53752.4002843	96.9747284501
HOT237	11	VS30	104	27.949	15121.4289547	95.5714339623
HOT237	11	VS33	101	26.389	18225.6015401	90.9367795867
HOT237	11	VS32	14	26.81	1746.0970793	86.1886339869
HOT237	11	VS35	12	26.017	262.485181856	86.2734782609
HOT237	11	VS34	13	26.379	102.7115929	79.7308888889
HOT231	6	VS15	19	34.769	59.8703779376	99.21875
HOT231	6	VS14	69	35.649	3906.54216043	89.1456283525
HOT231	6	VS17	95	34.077	419.092645563	88.4491785714
HOT231	6	VS16	68	34.431	2439.71790096	92.8305521472
HOT231	6	VS11	58	39.219	1870.94931055	93.589608
HOT231	6	VS10	96	39.744	72937.0879225	95.6178247486
HOT231	6	VS13	57	35.89	21313.8545458	95.2949599719
HOT231	6	VS19	17	33.814	1481.79185396	100.0
HOT231	6	VS18	18	34.068	3382.67635347	75.0759646018
HOT224	1	VS47	93	23.51	10779.9269607	99.692605042
HOT226	3	VS63	7	21.131	137.398587477	89.5
HOT236	10	VS107	21	15.344	204.832093361	97.9529090909
HOT236	10	VS106	22	15.427	1508.30905111	86.4920123457
HOT236	10	VS105	23	15.809	893.812771028	96.0499375
HOT236	10	VS104	24	15.868	2048.32093361	94.7529909091
HOT236	10	VS103	1	15.9	7355.33426158	95.5491949367
HOT236	10	VS102	71	15.97	93.1054969821	78.2758
HOT236	10	VS101	25	16.015	5325.63442737	90.235465035
HOT236	10	VS100	26	16.054	912.433870424	86.4465918367
HOT226	3	VS5	61	51.494	12420.8323079	100.0
HOT226	3	VS4	62	54.391	56305.9411479	100.0
HOT226	3	VS7	70	43.665	76888.2495519	100.0
HOT226	3	VS3	63	57.845	165702.696497	100.0
HOT236	10	VS108	20	15.11	2476.60621972	89.717481203
HOT227	4	VS46	10	23.707	33.3687654007	66.667
HOT233	8	VS104	24	15.868	821.459082251	95.8506666667
HOT233	8	VS105	23	15.809	706.166579479	97.0841020408
HOT233	8	VS106	22	15.427	547.639388167	93.6678684211
HOT233	8	VS107	21	15.344	43.2346885395	70.8573333333
HOT233	8	VS100	26	16.054	749.401268019	83.35875
HOT233	8	VS102	71	15.97	129.704065619	91.8857777778
HOT233	8	VS103	1	15.9	4943.16605635	95.7685772595
HOT233	8	VS108	20	15.11	461.170011088	87.909125
HOT232	7	VS108	20	15.11	714.416875187	91.7212676056
HOT232	7	VS103	1	15.9	6459.93850521	95.6708302181
HOT232	7	VS102	71	15.97	110.684304606	83.6195454545
HOT232	7	VS101	25	16.015	1740.76224517	88.6792890173
HOT232	7	VS100	26	16.054	372.301751858	80.1814054054
HOT232	7	VS107	21	15.344	392.426170877	93.9942051282
HOT232	7	VS106	22	15.427	835.163389303	87.9763855422
HOT232	7	VS105	23	15.809	784.852341754	91.1239102564
HOT232	7	VS104	24	15.868	664.105827638	95.2013333333
HOT232	7	VS8	60	41.205	1781.01108321	90.9720225989
HOT229	5	VS98	27	16.154	510.651876936	72.8929354839
HOT229	5	VS99	72	16.095	4216.99614502	84.931046875
HOT229	5	VS96	2	16.237	2602.67730826	98.7011012658
HOT229	5	VS97	28	16.161	37261.1143752	100.0
HOT229	5	VS94	29	16.502	1795.51788987	99.5604862385
HOT229	5	VS95	85	16.245	20755.5279013	95.7478396825
HOT229	5	VS92	74	16.745	2108.49807251	91.9642265625
HOT229	5	VS93	73	16.542	7495.05174213	100.0
HOT229	5	VS90	97	16.9	1021.30375387	94.1776290323
HOT229	5	VS91	30	16.88	214.144335489	75.7826153846
HOT232	7	VS70	38	20.074	150.933142645	82.2258666667
HOT234	9	VS69	39	20.158	1701.09349505	98.5113385827
HOT236	10	VS27	16	29.202	55.8632981892	76.0416666667
HOT236	10	VS26	55	29.251	3053.86030101	91.4726829268
HOT236	10	VS24	83	30.339	7001.53337305	95.398106383
HOT236	10	VS23	106	30.926	21730.8229956	91.0550976864
HOT236	10	VS22	84	31.824	2457.98512033	96.810969697
HOT236	10	VS21	94	32.028	21861.1706914	96.3683551959
HOT236	10	VS20	56	32.169	3854.56757506	92.7058888889
HOT236	10	VS29	82	28.0	2849.02820765	91.4394183007
HOT231	6	VS73	77	19.655	1451.85666499	92.1277113402
HOT231	6	VS72	5	19.667	583.736184892	97.0185128205
HOT231	6	VS71	37	19.786	404.125051079	96.7759259259
HOT231	6	VS70	38	20.074	209.546322782	100.0
HOT231	6	VS77	36	18.956	553.800995923	89.4426216216
HOT231	6	VS76	67	19.088	598.703779376	94.0543
HOT231	6	VS75	87	19.149	2888.74573549	98.3077046632
HOT231	6	VS74	88	19.487	1556.62982638	96.9137211538
HOT231	6	VS79	86	18.396	2230.17157818	94.7230402685
HOT231	6	VS78	35	18.738	104.773161391	92.6331428571
HOT234	9	VS100	26	16.054	1888.61561261	89.5457021277
HOT234	9	VS103	1	15.9	9094.82270186	95.2015493373
HOT234	9	VS102	71	15.97	401.833109066	95.9804333333
HOT234	9	VS105	23	15.809	2330.63203258	99.6432413793
HOT234	9	VS104	24	15.868	2143.10991502	95.0784
HOT234	9	VS108	20	15.11	2009.16554533	90.4166066667
HOT229	5	VS74	88	19.487	1960.24430179	94.3129915966
HOT229	5	VS75	87	19.149	5913.67818775	92.6668551532
HOT229	5	VS76	67	19.088	955.413189107	93.6073103448
HOT229	5	VS77	36	18.956	1021.30375387	85.4556612903
HOT229	5	VS70	38	20.074	247.089617872	80.5440666667
HOT229	5	VS71	37	19.786	609.487724085	93.4408108108
HOT229	5	VS72	5	19.667	889.522624341	90.1590555556
HOT229	5	VS73	77	19.655	2717.9857966	91.4772121212
HOT229	5	VS78	35	18.738	494.179235745	90.9180666667
HOT229	5	VS79	86	18.396	5188.88197532	91.6589968254
HOT231	6	VG1	107	164.235	78235.61637	97.0495536637
HOT224	1	VG1	107	164.235	222588.884008	98.4120980126
HOT233	8	VS19	17	33.814	1138.51346487	100.0
HOT233	8	VS18	18	34.068	4265.82260257	75.6711722973
HOT233	8	VS17	95	34.077	331.46594547	91.4999565217
HOT233	8	VS16	68	34.431	5793.4482643	93.8995895522
HOT233	8	VS15	19	34.769	792.635956558	96.84
HOT233	8	VS14	69	35.649	4323.46885395	99.26824
HOT233	8	VS13	57	35.89	6701.37672363	96.1366129032
HOT233	8	VS11	58	39.219	2032.03036136	95.0998865248
HOT233	8	VS10	96	39.744	71178.7088989	96.0102735372
HOT229	5	VS60	102	26.94	163326.237414	95.2630392335
HOT229	5	VS68	40	20.46	560.069800511	89.1049117647
HOT226	3	VS30	104	27.949	30722.3241598	95.4334221825
HOT224	1	VS48	50	23.468	7428.18496452	99.1568191057
HOT224	1	VS49	92	23.37	8983.27246726	98.5288302521
HOT224	1	VS44	65	23.999	12984.225751	88.4675604651
HOT224	1	VS45	51	23.869	14599.7050014	100.0
HOT224	1	VS46	10	23.707	226.469053796	89.3636
HOT224	1	VS40	53	24.419	1238.03082742	79.6371219512
HOT224	1	VS41	79	24.277	7881.12307212	91.6301992337
HOT224	1	VS42	52	24.121	9526.79819637	92.0576354992
HOT224	1	VS43	78	24.068	6748.77780313	94.0678478747
HOT225	2	VS98	27	16.154	287.084614401	77.6197
HOT225	2	VS99	72	16.095	4794.31306049	91.6350898204
HOT225	2	VS92	74	16.745	1378.00614912	94.0444375
HOT225	2	VS93	73	16.542	14095.8545671	100.0
HOT225	2	VS90	97	16.9	2497.63614529	97.268091954
HOT225	2	VS91	30	16.88	947.379227522	77.8617575758
HOT225	2	VS96	2	16.237	4019.18460161	98.77755
HOT225	2	VS97	28	16.161	5540.73305793	100.0
HOT225	2	VS94	29	16.502	3186.63921985	100.0
HOT225	2	VS95	85	16.245	36344.9121831	98.9098483412
HOT231	6	VS59	8	21.604	89.8055669064	85.0396666667
HOT231	6	VS58	100	21.89	21867.6555417	98.179156742
HOT231	6	VS51	9	22.88	269.416700719	97.1904444444
HOT231	6	VS50	91	23.177	8381.85291126	99.0441035714
HOT231	6	VS53	48	22.706	2334.94473957	81.2942948718
HOT231	6	VS52	49	22.818	2110.4308223	97.3511843972
HOT231	6	VS55	46	22.624	29.9351889688	63.889
HOT231	6	VS54	47	22.665	763.347318704	95.0878431373
HOT231	6	VS57	44	22.358	314.319484172	90.5183333333
HOT231	6	VS56	45	22.492	3053.38927482	95.3745245098
HOT237	11	VS9	59	40.844	273.897581067	81.9874583333
HOT237	11	VS8	60	41.205	707.568751089	88.5276774194
HOT237	11	VS7	70	43.665	13694.8790533	99.7839333333
HOT237	11	VS5	61	51.494	376.609173967	82.0065757576
HOT237	11	VS4	62	54.391	3218.29657753	100.0
HOT237	11	VS3	63	57.845	3047.11058937	96.0145543071
HOT225	2	VS79	86	18.396	8382.8707405	95.8483630137
HOT227	4	VS7	70	43.665	24392.5675079	100.0
HOT227	4	VS4	62	54.391	25059.9428159	100.0
HOT227	4	VS5	61	51.494	2402.55110885	95.3377083333
HOT227	4	VS3	63	57.845	42878.8635399	99.5410210117
HOT227	4	VS8	60	41.205	3870.77678648	94.6643017241
HOT227	4	VS9	59	40.844	1434.85691223	90.4620930233
HOT229	5	VS52	49	22.818	6374.91214111	95.0102609819
HOT229	5	VS53	48	22.706	4118.16029787	81.5689
HOT229	5	VS50	91	23.177	15550.1732848	98.7213146186
HOT229	5	VS51	9	22.88	1317.81129532	89.54545
HOT229	5	VS56	45	22.492	7643.30551285	92.6588922414
HOT229	5	VS57	44	22.358	1186.03016579	88.3863611111
HOT229	5	VS54	47	22.665	1284.86601294	91.4338589744
HOT229	5	VS55	46	22.624	32.945282383	72.414
HOT229	5	VS58	100	21.89	48726.0726444	97.1608313049
HOT229	5	VS59	8	21.604	197.671694298	85.26875
HOT233	8	VS35	12	26.017	936.751585023	91.7326923077
HOT233	8	VS34	13	26.379	345.877508316	86.461125
HOT233	8	VS37	81	25.828	489.993136781	89.5763529412
HOT233	8	VS31	103	27.846	102163.569019	96.6629527437
HOT233	8	VS30	104	27.949	31186.6219999	98.4204200555
HOT233	8	VS32	14	26.81	1095.27877633	90.2131710526
HOT233	8	VS39	80	25.02	1124.10190203	95.5615384615
HOT233	8	VS38	54	25.81	15160.9641145	100.0
HOT224	1	VS68	40	20.46	1056.85558438	93.5661428571
HOT224	1	VS69	39	20.158	1660.77306117	97.2651909091
HOT224	1	VS62	43	21.29	5208.78823732	100.0
HOT224	1	VS63	7	21.131	286.860801475	93.8805263158
HOT224	1	VS60	102	26.94	233353.713032	97.3668001423
HOT224	1	VS61	90	21.296	11957.5660405	100.0
HOT224	1	VS66	42	20.808	5691.92221875	90.6615862069
HOT224	1	VS67	41	20.689	9496.60232253	91.7333974563
HOT224	1	VS64	6	21.063	392.546359914	95.9084230769
HOT224	1	VS65	89	20.961	41896.7749523	97.1292972973
HOT238	12	VG1	107	164.235	99822.9433716	95.2063064406
HOT236	10	VS69	39	20.158	670.359578271	85.2968611111
HOT236	10	VS68	40	20.46	800.707274046	91.0049534884
HOT236	10	VS63	7	21.131	74.4843975856	92.1815
HOT236	10	VS62	43	21.29	540.011882496	93.214137931
HOT236	10	VS61	90	21.296	4487.68495454	100.0
HOT236	10	VS60	102	26.94	96103.4939849	94.4775440806
HOT236	10	VS67	41	20.689	10297.4679662	92.6448679928
HOT236	10	VS66	42	20.808	2383.50072274	84.5296796875
HOT236	10	VS65	89	20.961	107927.892102	96.064005521
HOT236	10	VS64	6	21.063	55.8632981892	100.0
HOT237	11	VS99	72	16.095	524.970363711	87.2082391304
HOT237	11	VS93	73	16.542	2408.01623354	99.2918767773
HOT237	11	VS92	74	16.745	330.959577122	90.5743793103
HOT237	11	VS91	30	16.88	22.8247984222	61.111
HOT237	11	VS90	97	16.9	79.8867944778	90.986
HOT237	11	VS97	28	16.161	4496.48528918	100.0
HOT237	11	VS96	2	16.237	433.671170022	89.9576578947
HOT237	11	VS95	85	16.245	6231.16996927	96.5294468864
HOT225	2	VS107	21	15.344	2555.05306817	100.0
HOT225	2	VS106	22	15.427	2267.96845376	91.1111392405
HOT225	2	VS105	23	15.809	2784.72075969	95.5348556701
HOT225	2	VS104	24	15.868	2612.46999105	95.6881758242
HOT225	2	VS103	1	15.9	20009.7976237	94.7375451937
HOT225	2	VS102	71	15.97	1263.17230336	100.0
HOT225	2	VS101	25	16.015	6890.03074561	92.5563708333
HOT225	2	VS100	26	16.054	2067.00922368	87.0411805556
HOT225	2	VS108	20	15.11	2727.30383681	92.7833684211
HOT224	1	VS58	100	21.89	77074.9679754	99.5159498531
HOT224	1	VS54	47	22.665	2793.11833016	93.5128810811
HOT225	2	VS80	75	18.052	2009.5923008	97.1270285714
HOT232	7	VG1	107	164.235	48107.4236657	96.9805444468
HOT227	4	VS76	67	19.088	1301.38185063	94.1904358974
HOT229	5	VS38	54	25.81	10904.8884688	95.629978852
HOT229	5	VS39	80	25.02	6144.29516443	94.301536193
HOT229	5	VS30	104	27.949	41445.1652378	96.1751244038
HOT229	5	VS31	103	27.846	177558.599403	95.6130411912
HOT229	5	VS32	14	26.81	1614.31883677	91.1802142857
HOT229	5	VS33	101	26.389	51921.7650356	95.5665126904
HOT229	5	VS34	13	26.379	1284.86601294	82.1317692308
HOT229	5	VS35	12	26.017	181.199053106	74.1784545455
HOT233	8	VS53	48	22.706	2622.90443807	78.7332582418
HOT233	8	VS52	49	22.818	2046.4419242	97.0646267606
HOT233	8	VS51	9	22.88	345.877508316	92.8080416667
HOT233	8	VS50	91	23.177	8301.06019959	98.1597690972
HOT233	8	VS57	44	22.358	475.581573935	98.3744848485
HOT233	8	VS56	45	22.492	2305.85005544	96.27860625
HOT233	8	VS55	46	22.624	14.4115628465	65.789
HOT233	8	VS58	100	21.89	49316.3680608	99.5168945061
HOT234	9	VS17	95	34.077	1352.83813385	96.1636732673
HOT225	2	VG1	107	164.235	164872.69405	97.6851469615
HOT229	5	VS103	1	15.9	22073.3391966	94.1629932836
HOT229	5	VS102	71	15.97	494.179235745	87.5637333333
HOT229	5	VS101	25	16.015	6440.80270588	87.8162634271
HOT229	5	VS100	26	16.054	609.487724085	89.8399459459
HOT229	5	VS107	21	15.344	214.144335489	89.778
HOT229	5	VS106	22	15.427	3146.27446758	88.1312984293
HOT229	5	VS105	23	15.809	2915.65749089	92.9452937853
HOT229	5	VS108	20	15.11	3129.80182638	93.1411105263
HOT236	10	VS41	79	24.277	4673.8959485	97.0312749004
HOT236	10	VS40	53	24.419	800.707274046	85.6523953488
HOT236	10	VS43	78	24.068	1787.62554206	84.7010729167
HOT236	10	VS42	52	24.121	3053.86030101	88.619945122
HOT236	10	VS45	51	23.869	5567.70871953	100.0
HOT236	10	VS44	65	23.999	11638.1871228	89.055984
HOT236	10	VS47	93	23.51	3649.7354817	95.139244898
HOT236	10	VS46	10	23.707	130.347695775	85.3025714286
HOT236	10	VS49	92	23.37	3947.67307204	90.9092169811
HOT236	10	VS48	50	23.468	782.086174649	83.0960952381
HOT231	6	VS99	72	16.095	1212.37515324	86.3493950617
HOT231	6	VS98	27	16.154	35563.0044949	100.0
HOT231	6	VS95	85	16.245	9264.94098584	98.3481114701
HOT231	6	VS94	29	16.502	1616.50020432	100.0
HOT231	6	VS97	28	16.161	8262.11215539	100.0
HOT231	6	VS96	2	16.237	1362.05109808	93.8204725275
HOT231	6	VS91	30	16.88	14.9675944844	66.667
HOT231	6	VS90	97	16.9	613.67137386	97.8483902439
HOT231	6	VS93	73	16.542	3053.38927482	100.0
HOT231	6	VS92	74	16.745	1017.79642494	94.6440588235
HOT238	12	VS32	14	26.81	615.557718633	94.4938055556
HOT238	12	VS30	104	27.949	28845.7186482	96.3564356846
HOT226	3	VS71	37	19.786	1978.53965966	97.1198472222
HOT237	11	VS80	75	18.052	102.7115929	95.3298888889
HOT232	7	VS189	76	18.494	513.172684993	84.9167843137
HOT233	8	VS189	76	18.494	302.642819777	89.645952381
HOT227	4	VS81	99	17.724	15483.1071459	95.0069094828
HOT227	4	VS80	75	18.052	467.16271561	93.7081428571
HOT227	4	VS87	32	17.269	66.7375308015	83.772
HOT227	4	VS86	98	17.364	26394.693432	94.1185562579
HOT227	4	VS85	3	17.456	11011.6925822	100.0
HOT227	4	VS84	33	17.492	400.425184809	91.8205833333
HOT227	4	VS89	66	16.912	4805.1022177	89.8090486111
HOT227	4	VS88	31	17.085	4104.35814429	91.1758780488
HOT236	10	VS88	31	17.085	5027.69683703	90.7491888889
HOT229	5	VS16	68	34.431	8582.24606077	90.3088502879
HOT229	5	VS17	95	34.077	988.35847149	82.04945
HOT229	5	VS14	69	35.649	8055.12154264	91.8407791411
HOT229	5	VS15	19	34.769	280.034900255	79.4657647059
HOT229	5	VS10	96	39.744	116461.573224	95.9413554455
HOT229	5	VS11	58	39.219	6737.31024732	94.3185330073
HOT229	5	VS18	18	34.068	5781.89705822	75.0105498575
HOT229	5	VS19	17	33.814	395.343388596	99.1343333333
HOT233	8	VS79	86	18.396	1830.26848151	94.8962834646
HOT233	8	VS78	35	18.738	86.4693770791	85.8785
HOT233	8	VS71	37	19.786	288.23125693	97.46835
HOT233	8	VS70	38	20.074	144.115628465	87.7861
HOT233	8	VS73	77	19.655	605.285639554	93.6828571429
HOT233	8	VS72	5	19.667	345.877508316	95.8673333333
HOT233	8	VS75	87	19.149	1931.14942143	95.7099850746
HOT233	8	VS74	88	19.487	1311.45221903	91.3999230769
HOT233	8	VS77	36	18.956	576.462513861	88.532625
HOT233	8	VS76	67	19.088	634.108765247	93.9060454545
HOT224	1	VS102	71	15.97	1524.8916289	97.6249009901
HOT224	1	VS104	24	15.868	3276.25231159	96.2295391705
HOT225	2	VS34	13	26.379	1521.54845632	87.0851509434
HOT225	2	VS35	12	26.017	918.670766082	100.0
HOT225	2	VS37	81	25.828	2870.84614401	91.64224
HOT225	2	VS30	104	27.949	42287.5637012	96.3092206382
HOT225	2	VS31	103	27.846	210605.273124	94.3443095692
HOT225	2	VS32	14	26.81	1923.46691648	90.2113432836
HOT225	2	VS33	101	26.389	49522.0959841	91.0265234783
HOT225	2	VS38	54	25.81	33962.1098836	100.0
HOT225	2	VS39	80	25.02	5913.94305665	95.674184466
HOT224	1	VS28	15	28.336	3185.66469007	91.6257962085
HOT224	1	VS29	82	28.0	5238.98411116	89.4064034582
HOT224	1	VS26	55	29.251	11051.6898253	100.0
HOT224	1	VS27	16	29.202	30.1958738395	77.7605
HOT224	1	VS24	83	30.339	8530.33435967	94.4264
HOT224	1	VS25	105	29.927	112313.552746	99.3948509208
HOT224	1	VS22	84	31.824	5888.19539871	96.1147307692
HOT224	1	VS23	106	30.926	56315.3047107	94.7867418231
HOT224	1	VS20	56	32.169	7020.54066769	93.7135698925
HOT224	1	VS21	94	32.028	44976.754084	96.3823615307
HOT226	3	VS86	98	17.364	19483.1197042	90.3165275035
HOT226	3	VS87	32	17.269	329.756609944	86.646
HOT226	3	VS84	33	17.492	1401.46559226	88.728745098
HOT226	3	VS85	3	17.456	28798.7439351	100.0
HOT226	3	VS80	75	18.052	2033.49909465	96.6371486486
HOT226	3	VS81	99	17.724	15058.8851874	91.748060219
HOT226	3	VS88	31	17.085	9315.62423091	90.4722507375
HOT226	3	VS89	66	16.912	13107.8252453	95.7425178197
HOT234	9	VS189	76	18.494	1232.28820114	96.127076087
HOT233	8	VS33	101	26.389	30610.159486	94.3305188324
HOT234	9	VS18	18	34.068	4232.64208216	75.9467879747
HOT233	8	VS97	28	16.161	2406.73099537	100.0
HOT233	8	VS96	2	16.237	691.755016633	91.1032291667
HOT233	8	VS95	85	16.245	6557.26109516	98.5765934066
HOT233	8	VS94	29	16.502	1426.7447218	100.0
HOT233	8	VS93	73	16.542	2421.14255821	99.6356190476
HOT233	8	VS92	74	16.745	403.523759702	96.6090714286
HOT233	8	VS90	97	16.9	317.054382623	98.0134090909
HOT233	8	VS99	72	16.095	893.516896484	85.8435
HOT233	8	VS98	27	16.154	72.0578142326	81.3552
HOT225	2	VS13	57	35.89	25952.4491418	97.3978816372
HOT225	2	VS10	96	39.744	138547.03491	93.8965346042
HOT225	2	VS11	58	39.219	8325.45381762	94.6493655172
HOT225	2	VS16	68	34.431	28450.0852871	95.4062815338
HOT225	2	VS14	69	35.649	17138.9514797	99.2883417085
HOT225	2	VS15	19	34.769	1320.58922624	97.2404782609
